Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Attention,Meditation,EEGValue,BlinkStrength,State
274508,838256,123634,91084,122595,111421,44102,10170,57,70,-1240,0,chill
1770358,48860,29528,33729,20042,43008,8964,13671,57,70,-108,0,chill
559303,127968,6377,15021,26682,17022,2640,1683,57,70,-242,0,chill
757069,146971,248407,103773,136011,56923,112181,33023,57,70,48,0,chill
220113,109504,15288,16324,9475,18200,11166,7077,57,70,1416,0,chill
656431,13829,6925,6580,1888,3245,3641,611,57,70,42,0,chill
160915,9557,14379,5817,14336,24180,1971,2603,93,54,-647,0,chill
541980,118049,33660,43238,54381,26592,3742,10297,93,61,583,46,chill
2066533,436936,120152,215102,265760,77904,77021,14022,56,64,-276,106,chill
1849434,279893,40314,71337,73964,37596,14960,4460,35,56,391,85,chill
1240196,235767,27611,170744,84715,173966,56778,10891,51,54,-349,111,chill
2723598,882559,58586,84461,115164,103072,61230,16058,50,34,-312,69,chill
421127,125898,33675,34993,20076,56154,9011,3275,75,47,25,67,chill
864261,148862,199391,97495,252374,125444,112561,68629,70,50,-584,49,chill
1063710,128357,39660,9165,18504,9911,18814,3281,70,50,96,49,chill
905632,405227,110088,57408,33564,36008,23259,14331,66,63,320,49,chill
831799,77342,8328,7559,20790,15618,8636,2681,54,48,-538,63,chill
2599212,246269,78623,60940,50209,21569,12985,4529,35,47,22,55,chill
1115079,1124316,280090,493696,479779,409559,71321,45771,50,47,2047,112,chill
1046664,332584,281320,179095,104656,109231,82398,81809,50,47,196,105,chill
685997,106516,20886,30543,14850,25129,12029,9188,48,41,517,77,chill
443104,27810,5995,4979,7558,4106,2906,2344,48,41,-196,69,chill
103293,37226,6751,12613,4497,6246,4608,2679,43,54,-42,96,chill
676183,83307,42344,14869,18024,9798,9188,4521,47,54,104,50,chill
1619515,1608504,1080886,988745,261128,251475,114127,167353,34,66,-217,55,chill
3371980,172035,71389,80644,60882,26427,37930,8017,24,74,-138,41,chill
3356952,361795,130129,14881,116987,30624,12003,26078,16,67,-142,41,chill
276028,253066,12833,13861,32369,13106,5773,2207,10,47,-43,43,chill
2067643,403981,45787,135556,21699,25597,29799,8079,4,38,233,51,chill
1828074,609420,76713,23299,55217,16433,37269,13312,1,21,-283,51,chill
1219847,254644,61451,20830,89124,61040,14530,13037,4,17,100,51,chill
736506,255506,56961,78118,85251,37586,18501,11830,14,35,-5,44,chill
324658,96110,42169,31310,9458,6811,1900,2237,14,40,73,53,chill
312811,666696,57916,93928,62906,24926,11235,4692,11,61,1,48,chill
762082,177391,68183,20520,16409,25789,24532,5673,10,61,69,48,chill
95609,134485,6147,18813,7564,5278,3942,1585,8,47,-84,32,chill
1174720,67430,74074,29487,13098,24109,4533,3910,10,48,1,44,chill
745186,407985,79045,96951,33627,27855,3024,3003,14,54,-103,33,chill
437670,247021,147621,35076,19359,18737,15974,9029,7,60,156,33,chill
148490,23325,24861,16432,13165,3916,3273,3113,13,81,-33,33,chill
1557191,404176,39720,166804,47669,35539,24354,39847,3,70,196,42,chill
1631231,1285334,37870,543569,143890,102855,47414,27458,3,74,-194,42,chill
387315,355271,98058,54004,20382,17323,11462,6592,1,67,60,62,chill
560132,36520,12746,6573,4427,5482,6041,2755,7,56,-137,62,chill
