Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Attention,Meditation,EEGValue,BlinkStrength,State
175941,9829,8933,5843,2441,1172,1210,1725,13,48,35,0,chill
20889,38554,15692,5346,12363,8100,3368,6004,21,26,54,0,chill
640757,69002,9554,13213,3272,2865,753,1421,21,37,92,0,chill
509958,915863,34834,25301,6185,10110,8033,7863,1,37,134,53,chill
172579,418812,150885,48279,18197,41902,30118,35755,13,24,45,63,chill
319477,87836,10962,8724,47341,28882,5873,2680,26,14,-60,63,chill
240686,184434,35513,11981,3834,5289,7755,4351,34,20,-311,63,chill
1706095,434859,60299,59113,51341,16712,4992,2353,47,38,55,63,chill
222071,145303,16810,35652,12176,8514,3293,2920,41,34,90,63,chill
454868,28304,19831,1439,5241,1546,1551,1058,27,47,9,49,chill
98844,82873,22320,11163,22696,3124,2866,2679,26,51,22,49,chill
486185,51321,12287,4961,3352,1997,1106,2096,21,53,38,55,chill
44842,12900,9337,20879,3648,4835,4627,8300,27,84,148,55,chill
20670,45991,15506,6513,6186,5255,5926,8318,56,88,7,55,chill
9424,19171,5836,4785,5330,5011,4993,4825,77,88,80,55,chill
12343,10753,2508,1470,11381,4815,9941,6651,90,57,28,55,chill
67480,60797,1235,7790,10332,8399,5963,6194,88,30,122,55,chill
97457,157353,10251,11191,9071,6818,4918,8678,81,16,24,55,chill
233239,82931,9841,10401,1260,5834,4481,2576,69,11,-29,55,chill
122157,77444,14008,3928,4312,4659,2624,2538,48,16,68,55,chill
728020,45290,5018,18943,4533,2467,2345,822,34,35,-43,58,chill
183979,47191,4770,1678,579,1689,1951,1243,29,35,-50,58,chill
299342,125462,46421,12899,6493,6551,9949,3694,24,43,85,58,chill
188906,12180,9676,10024,3416,5119,5434,3031,37,63,34,58,chill
23626,8217,2916,4962,4259,13411,6012,6718,78,69,51,58,chill
29833,13783,6225,11791,6957,7860,6490,2675,94,75,38,58,chill
72584,7147,6401,9758,6262,6693,10675,10042,97,75,28,58,chill
87424,58596,33857,24508,15191,16536,12748,21729,69,81,-441,58,chill
1358872,221119,6430,14028,16094,3339,1201,836,43,53,-296,49,chill
1351708,100443,24278,12817,22955,7557,3610,5139,26,40,36,58,chill
21774,39341,4788,6459,2801,4787,7389,12790,34,38,36,58,chill
7764,16635,3110,2716,2333,3077,4628,7308,34,26,55,58,chill
8612,14447,1046,6707,2131,3848,7204,4457,57,48,51,58,chill
16998,16277,1162,11255,1284,2569,3289,5166,63,60,24,58,chill
39147,33014,2115,5040,1311,6840,4877,3137,67,54,23,58,chill
10916,17427,4818,7312,3987,5008,5737,2700,69,61,48,58,chill
20793,37683,4420,4189,8003,11993,8009,5406,70,47,55,58,chill
71960,13514,11350,4119,4783,11274,3960,5028,88,66,23,58,chill
29689,24644,7938,6029,2042,3517,3227,3369,83,66,9,58,chill
17158,16588,2678,16697,4095,5231,5801,4730,78,88,84,58,chill
160819,57324,23009,6762,14793,7259,6171,4497,67,78,27,58,chill
61957,16459,5984,6584,3053,3851,3582,5939,57,78,6,58,chill
11494,14531,4142,11543,5481,3427,4677,3720,69,66,44,58,chill
28979,8779,2424,15480,5044,1975,4265,1940,67,80,74,58,chill
76845,20044,2386,8107,1962,6073,7269,3937,70,77,48,58,chill
8531,6327,4400,7980,8711,9871,4185,1259,75,88,50,58,chill
19678,55102,7276,26769,4782,6085,3680,3560,69,83,-1,58,chill
8982,17875,2359,3284,9734,3249,3253,6708,75,57,77,58,chill
774768,81362,10612,33067,8630,3923,4443,2567,57,61,201,58,chill
130089,36365,27274,10856,21680,39413,9777,14597,57,57,-268,42,chill
362407,156566,51087,33702,22372,9720,6838,6605,53,57,-18,69,chill
9890,8795,4341,4365,6533,4398,4026,1081,57,69,59,69,chill
298957,131645,11005,35760,6396,12670,6078,3121,66,64,292,41,chill
141618,33622,7476,10834,3801,3962,1146,693,50,64,44,35,chill
566500,32177,4342,5139,3431,1732,4930,1602,50,56,101,35,chill
169150,119746,30701,4226,10517,4545,3365,1189,27,48,147,35,chill
1161406,63220,5488,30759,13066,4443,1070,414,23,54,320,35,chill
592377,35096,7627,22459,22721,13416,1386,668,34,54,67,64,chill
685700,116322,11848,26526,9810,7333,2934,3105,35,54,36,64,chill
198220,225035,49246,20594,6870,8751,5660,4857,35,57,208,64,chill
25353,56796,3974,27124,19270,4767,5251,5148,21,51,28,64,chill
131262,27017,13999,19258,7544,5011,18880,5108,26,67,108,64,chill
5457,20042,7015,22122,2019,3281,5464,5132,34,87,82,64,chill
126162,60562,8698,8458,3682,3402,8975,4258,35,84,58,64,chill
95160,17549,20349,13711,4324,1601,1569,1300,27,100,-13,64,chill
69844,47315,15335,16011,8338,7477,10054,6059,29,93,346,64,chill
149606,25801,2923,15724,6081,3192,2518,1007,30,81,-140,87,chill
127564,49145,56700,18541,12397,7221,1919,866,35,100,-20,32,chill
843792,41369,24551,11334,5224,4883,2995,3100,41,91,-61,32,chill
178336,69188,34405,25788,7886,18146,8721,4478,44,96,179,32,chill
272075,70916,26615,8692,6337,5830,2433,11527,41,93,124,32,chill
123894,155280,17394,13110,8419,6304,10073,11283,37,67,37,32,chill
18842,22061,7293,13867,5317,7438,7304,3229,47,66,39,32,chill
854995,378993,67707,62416,21851,23593,3902,6816,21,34,67,43,chill
1021033,97350,63962,17932,29628,16537,13279,8868,34,48,-235,43,chill
1851330,213235,15705,28656,25388,21167,27618,12896,24,30,107,43,chill
119692,19414,12110,6943,4838,6658,3251,2756,50,57,53,43,chill
29027,25902,2155,6427,1933,5304,5754,2182,61,54,19,43,chill
107684,76428,7909,14180,8218,8271,1668,2623,56,57,-423,49,chill
4098731,162824,95498,70655,34553,33608,8772,5986,51,61,35,75,chill
