Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma,Attention,Meditation,EEGValue,BlinkStrength,State
2271227,168822,52073,20730,20082,16289,22654,7514,30,88,57,0,fear
1753014,470075,55712,24976,23681,13884,61618,20253,21,67,100,0,fear
656267,77573,17733,34523,10302,19115,11856,11142,40,70,33,0,fear
1731456,170371,156331,31020,72558,69723,6553,17146,50,60,-25,120,fear
82819,47799,21966,8392,4158,12387,8115,5675,80,70,37,66,fear
177119,63608,12901,10981,16278,9660,3772,6107,77,64,44,66,fear
7074,21052,21932,44510,12313,19565,10959,5337,78,75,21,66,fear
1123787,60750,23466,20147,16500,7982,1388,1181,69,84,194,74,fear
148210,107607,12207,7813,18468,9425,2881,4068,66,77,25,74,fear
6783,3517,6171,2145,3064,5044,6740,1891,70,67,64,74,fear
382669,45467,12626,24080,4795,3212,5017,7756,56,67,53,74,fear
26631,29722,14674,16632,3686,7718,5334,2526,61,74,44,74,fear
15262,25946,1967,13055,19707,16463,5103,2856,80,80,-13,74,fear
32777,11111,883,11449,5705,3284,3644,3752,67,78,-85,74,fear
157693,45366,18316,4007,6189,12378,3335,3793,81,74,71,74,fear
33878,30516,10005,9236,9211,4806,3902,6123,66,81,85,74,fear
573520,77723,64888,15253,16174,17076,4259,6283,64,81,23,56,fear
289250,36292,1545,4973,18860,5552,3136,7359,66,56,5,56,fear
104660,32006,8230,9430,10633,16227,6746,4009,64,50,35,63,fear
464664,67137,53827,59568,32058,24445,4656,5191,66,75,-19,91,fear
115941,89635,6892,3613,2687,3057,3084,2796,61,63,2,91,fear
135152,136844,60328,6629,8144,13769,14694,8333,44,67,54,41,fear
78400,23969,43629,38065,21267,21646,9665,7594,50,74,91,41,fear
187350,44611,96596,30401,20062,13919,9275,8123,44,81,65,41,fear
40152,21384,1363,6208,6513,13714,9664,4240,75,87,32,41,fear
28427,48459,9658,10748,7877,10624,6291,5153,83,81,27,41,fear
7331,106718,3938,43215,18945,6664,13036,16978,66,66,101,41,fear
102871,13304,14614,10521,9103,8476,12931,9044,78,57,-1,41,fear
32230,36699,18336,2920,7193,9081,4295,11913,66,66,58,41,fear
178790,91775,2226,3571,6536,6466,5467,2517,57,50,27,41,fear
5912,3046,25698,10028,20528,16995,15676,12934,81,61,-2,41,fear
21955,11622,2145,4232,3026,11818,4605,2993,91,48,32,41,fear
1046838,19772,26589,21055,20497,19737,14016,5598,97,54,19,41,fear
314520,44239,1944,12217,28161,30459,25901,30963,100,64,129,41,fear
28472,17226,2701,25230,6655,28041,23272,11922,100,60,67,41,fear
9511,3884,6451,2997,9002,22225,22289,9616,100,60,8,41,fear
11913,53436,12618,2812,8670,7850,5702,4615,100,47,64,41,fear
1519026,139609,45440,27227,14160,24054,18346,14266,66,53,115,36,fear
296990,143897,17119,24770,39531,11163,6193,8999,38,50,81,36,fear
17705,30615,773,9750,18381,6377,12622,10791,41,48,48,36,fear
370807,35677,25636,12502,17652,22550,7261,4460,50,54,-75,36,fear
